Node Number	X Location (mm)	Y Location (mm)	Z Location (mm)	Directional Deformation (mm)
5363	-122.0666809	3.203171968	-13.40748024	4.281269412e-003
5364	-117.5013046	3.063686609	-28.01189995	4.366029316e-003
5365	-123.9474945	3.479265213	-26.16477394	4.193934728e-003
5366	-123.0764084	3.520249128	-32.30170441	4.193555924e-003
5367	-114.1376495	3.444455862	-53.83482361	4.330940556e-003
5368	-113.6659241	3.565937042	-58.57786942	4.302150501e-003
5369	-105.1220245	3.266518354	-65.20266724	4.495804205e-003
5370	-100.0375366	3.156239271	-70.05751801	4.59443163e-003
5371	-86.70810699	3.419043779	-91.20439148	4.734141839e-003
5372	-45.26239395	3.228577614	-114.5442429	5.667699952e-003
5373	-116.2789764	3.422204018	-48.23703384	4.30800128e-003
5374	-117.6229401	3.366032839	-42.60997391	4.30307864e-003
5375	-103.1056137	2.609743834	48.67913818	4.644707133e-003
5376	-100.1568069	2.667590618	56.31837463	4.678737696e-003
5377	-127.0838928	3.529456139	-8.552770615	4.148901098e-003
5378	12.27302551	2.100544214	105.1920166	8.323099792e-003
5379	16.9373436	2.474191427	110.6278534	8.347981748e-003
5380	-94.2024765	2.631595373	-64.82975006	4.781602456e-003
5381	-22.42682838	3.839391708	129.6404266	6.087459496e-003
5382	-21.87029648	3.967378616	-131.4526978	6.001469046e-003
5383	129.0821991	3.894458294	-28.98909378	4.211811392e-002
5384	130.4425049	3.818763971	-14.90196323	4.49794934e-002
5385	116.3552933	3.558725357	52.7966156	3.145767914e-002
5386	112.4531784	3.922554731	70.39405823	2.559956738e-002
5387	101.4450073	3.835722923	83.69980621	1.982930007e-002
5388	-59.92269135	3.549479246	112.7071686	5.291171419e-003
5389	-71.67985535	3.835840702	110.2685776	4.938211532e-003
5390	-74.18078613	3.342621803	100.3291321	5.041659733e-003
5391	-92.84272003	3.606438875	-88.73259735	4.579615506e-003
5392	-69.64571381	3.883808136	-112.3153229	4.887648174e-003
