Node Number	X Location (mm)	Y Location (mm)	Z Location (mm)	Directional Deformation (mm)
7886	231.6525574	15.71560669	-72.56515503	2.016712097e-002
7887	234.0071259	15.7388792	-65.19841003	2.247942757e-002
7888	236.1067657	15.75298405	-57.56032562	2.471741936e-002
7889	237.8677216	15.76109886	-50.06977463	2.67312862e-002
7890	239.2966614	15.75806808	-42.59716415	2.851654244e-002
7891	240.630249	15.77052879	-34.90214157	3.017855306e-002
7892	241.5252686	15.75965214	-27.35891342	3.145997471e-002
7893	242.2688141	15.75931168	-19.68737411	3.250921873e-002
7894	242.7513275	15.75672817	-12.0212307	3.323273268e-002
7895	242.9953613	15.754776	-4.373650551	3.36059893e-002
7896	242.9770813	15.7498579	3.283670664	3.358354661e-002
7897	242.6984253	15.74244976	10.96142578	3.321326585e-002
7898	242.1621246	15.73303604	18.6332531	3.250223017e-002
7899	241.4202881	15.72933006	26.32390404	3.148564429e-002
7900	240.3240662	15.71115685	34.0199585	3.011116132e-002
7901	239.0129547	15.69692898	41.66490173	2.848635268e-002
7902	237.4850464	15.68772697	49.31289673	2.664744716e-002
7903	235.9200439	15.70768261	56.94360733	2.471815242e-002
7904	234.1431122	15.73034573	64.47688293	2.265124749e-002
7905	231.9542999	15.73096371	71.96966553	2.038246384e-002
7906	229.5391998	15.73787403	79.4883728	1.805137617e-002
7907	226.848587	15.741786	86.94869995	1.569123015e-002
7908	223.9581909	15.74546337	94.21237946	1.338979473e-002
7909	220.9063263	15.76476097	101.4951401	1.116204203e-002
7910	217.577774	15.76987362	108.5297165	9.048626453e-003
7911	214.0374603	15.78094578	115.5229568	7.080442629e-003
7912	210.2657776	15.78329182	122.2870026	5.306431831e-003
7913	206.3127747	15.77545166	128.7376099	3.746997436e-003
7914	202.1764221	15.77372646	135.1184082	2.377359351e-003
7915	197.8102722	15.77891159	141.4975433	1.169863253e-003
7916	193.3066711	15.78381538	147.648819	1.516885675e-004
7917	188.5679474	15.78335381	153.6494446	-6.920923283e-004
7918	183.5934753	15.77844143	159.5062714	-1.394794708e-003
7919	178.4515533	15.76513863	165.097641	-1.958294433e-003
7920	173.0316162	15.75260448	170.6409302	-2.384028448e-003
